,Site,Stream,Watershed,Date,Year,Month,Obsw,ObservedFlow,Drainage area,Base-flow index ,Soil bulk density,surficial geology contacts ,Cropland cover,Number of water diversions ,Elevation,Evapotranspiration_00 ,Evapotranspiration_01,Evapotranspiration_03,Evapotranspiration_06,Evapotranspiration_09,Evapotranspiration_12,bedrock geology faults ,Forest cover,hydraulic conductivity,Precipitation_00,Precipitation_01,Precipitation_03,Precipitation_06,Precipitation_09,Precipitation_12,Depth to soil restrictive layer,Number of roads,Slope,Slope-area ratio,Number of springs,permeability index ,Snow water equivalent_00,Snow water equivalent_01,Snow water equivalent_03,Snow water equivalent_06,Snow water equivalent_09,Snow water equivalent_12,Temperature_00,Temperature_01,Temperature_03,Temperature_06,Temperature_09,Temperature_12,water content ,Depth to water table,Number of water wells ,Wetland cover
0,31,3518,1,201204,2012,4,2.475,0.070083534,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,15.61,8.607,4.303,2.836,23.582,37.304,3.917338,38.992,0.127,47.184,46.936,77.878,70.99,56.788,64.2,131.116,69.386744,24.91,0.218,0,0.403,4.29,60.917,54.625,32.949,23.065,60.753,2.641,0.659,-3.261,-3.083,1.619,1.865,0.496,11.255,0.121717,1.251
1,25,13504,3,201205,2012,5,0.673,0.019057058,43.21674,74.035,1.356,25.01365,0.099,0,2639.848801,58.408,41.04,21.28,12.358,18.999,37.959,5.98E-04,42.47,0.252,57.212,51.666,57.071,64.584,56.55,55.599,128.737,76.346712,23.186,0.225,0.084333,0.585,0.168,4.66,41.211,29.093,20.365,34.499,5.629,4.316,0.022,-2.638,1.087,2.709,0.487,10.243,3.31E-04,1.153
2,27,8545,2,201205,2012,5,1.505125,0.042619992,53.87977,74.041,1.328,40.890284,0,0.033558,2645.209173,56.509,36.626,18.78,10.792,16.089,34.947,8.644166,27.232,0.13,53.182,48.105,54.349,62.767,54.532,53.323,132.64,106.914408,19.76,0.194,0.011999,0.571,0,1.897,40.226,27.234,19.064,30.412,5.599,4.267,-0.091,-2.745,0.979,2.622,0.488,10.979,0.768222,1.074
3,31,3518,1,201205,2012,5,4.33975,0.122886875,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,62.918,39.264,20.033,11.567,19.058,38.985,3.917338,38.992,0.127,58.923,53.054,60.003,69.984,60.66,58.579,131.116,69.386744,24.91,0.218,0,0.403,0,2.145,47.768,32.949,23.065,40.557,5.337,3.989,-0.341,-2.919,0.79,2.421,0.496,11.255,0.121717,1.251
4,33,5315,2,201205,2012,5,0.389166667,0.011019869,13.29188,74.068,1.331,29.3422,0,0,2788.773926,72.045,44.628,23.395,13.441,20.285,43.293,0.02976,49.16,0.098,60.689,55.425,63.185,74.296,63.973,61.432,132.009,61.882252,22.835,0.185,0.238512,0.348,0,3.352,51.388,34.946,24.462,45.935,5.29,3.958,-0.306,-2.893,0.827,2.44,0.497,12.284,3.40E-05,0.758
5,34,4793,1,201205,2012,5,2.1894,0.061996319,12.03573,74.079,1.318,23.990222,0,0,2821.221233,72.906,44.536,23.011,13.327,21.495,44.24,0.054465,39.811,0.077,64.907,59.15,67.086,78.858,68.016,65.053,129.789,29.851898,28.858,0.243,0,0.342,0,2.978,54.216,36.892,25.825,50.125,5.146,3.805,-0.425,-2.966,0.745,2.346,0.502,12.204,0,0
6,25,13504,3,201206,2012,6,0.435333333,0.012327151,43.21674,74.035,1.356,25.01365,0.099,0,2639.848801,60.086,59.247,36.138,20.764,17.848,35.623,5.98E-04,42.47,0.252,0.03,28.621,37.066,54.426,53.246,48.608,128.737,76.346712,23.186,0.225,0.084333,0.585,0,0.084,26.569,28.667,20.365,19.392,11.062,8.345,4.664,-0.35,0.731,3.377,0.487,10.243,3.31E-04,1.153
7,27,8545,2,201206,2012,6,1.577,0.044655246,53.87977,74.041,1.328,40.890284,0,0.033558,2645.209173,50.312,53.41,31.354,17.922,14.95,31.87,8.644166,27.232,0.13,0.221,26.701,34.696,52.863,51.519,46.631,132.64,106.914408,19.76,0.194,0.011999,0.571,0,0,25.708,27.021,19.064,17.086,10.953,8.276,4.593,-0.46,0.633,3.275,0.488,10.979,0.768222,1.074
8,31,3518,1,201206,2012,6,3.845,0.108877248,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,59.005,60.962,34.784,19.877,17.233,36.231,3.917338,38.992,0.127,0.975,29.949,38.443,59.032,57.303,51.649,131.116,69.386744,24.91,0.218,0,0.403,0,0,30.458,32.585,23.065,21.08,10.688,8.012,4.336,-0.658,0.446,3.07,0.496,11.255,0.121717,1.251
9,33,5315,2,201206,2012,6,0.469833333,0.013304073,13.29188,74.068,1.331,29.3422,0,0,2788.773926,61.247,66.646,38.706,22.121,18.848,39.281,0.02976,49.16,0.098,0.636,30.663,40.218,62.553,60.658,54.333,132.009,61.882252,22.835,0.185,0.238512,0.348,0,0,32.958,34.545,24.462,23.034,10.734,8.012,4.328,-0.624,0.473,3.104,0.497,12.284,3.40E-05,0.758
10,34,4793,1,201206,2012,6,2.045428571,0.05791954,12.03573,74.079,1.318,23.990222,0,0,2821.221233,64.602,68.754,39.162,22.378,19.677,40.575,0.054465,39.811,0.077,1.267,33.087,43,66.478,64.417,57.704,129.789,29.851898,28.858,0.243,0,0.342,0,0,34.602,36.413,25.825,24.601,10.602,7.874,4.198,-0.713,0.39,3.011,0.502,12.204,0,0
11,37,12762,3,201206,2012,6,0.613,0.017358063,26.87643,74.015,1.344,26.189908,0,0,2699.325027,65.855,65.366,39.266,22.569,19.529,38.913,0.002347,50.644,0.18,0.047,29.695,38.852,58.203,56.742,51.439,127.499,64.434144,25.185,0.248,0.03433,0.45,0,0.114,29.747,31.864,22.635,22.284,10.974,8.241,4.56,-0.412,0.67,3.31,0.492,11.182,0.001301,0.244
12,38,11974,3,201206,2012,6,0.772,0.021860399,24.95465,74.016,1.342,37.776932,0,0,2721.432687,67.898,67.504,40.514,23.291,20.237,40.101,0.005584,54.383,0.177,0.05,30.048,39.392,59.222,57.7,52.232,126.964,66.539732,26.429,0.258,0.081671,0.406,0,0.122,30.736,32.939,23.413,23.258,10.956,8.216,4.535,-0.427,0.654,3.294,0.493,11.478,0.003096,0.126
13,41,11355,3,201206,2012,6,0.257,0.007277361,10.98419,74.028,1.349,22.061678,0,0,2755.020285,75.957,75.262,45.654,26.336,23.562,44.504,5.89E-04,65.754,0.284,0.038,31.208,40.908,61.155,59.589,53.981,125.097,26.615728,28.378,0.268,0.122456,0.535,0,0.278,33.468,36.15,25.744,26.315,10.951,8.193,4.51,-0.426,0.652,3.291,0.49,11.693,0.004125,0.081
14,46,13049,3,201206,2012,6,0.383,0.01084525,100.67848,74.073,1.362,5.722218,0.495,0.002649,2547.42214,52.217,49.201,30.928,17.723,15.173,30.502,1.212668,28.666,0.302,0.012,25.58,31.679,42.872,42.742,40.034,129.901,93.031536,19.951,0.197,6.26E-04,0.747,0,0.044,21.312,23.29,16.487,14.456,11.393,8.695,4.98,-0.178,0.904,3.581,0.483,8.674,0.308706,1.111
15,47,13753,3,201206,2012,6,0.717,0.020302987,99.4042,74.08,1.362,9.255179,0.501,0.008508,2551.114085,52.375,49.479,31.078,17.809,15.251,30.654,3.894213,29.034,0.302,0.013,25.741,31.904,43.216,43.066,40.318,130.016,126.370984,19.981,0.197,0.002012,0.729,0,0.044,21.312,23.255,16.465,14.462,11.381,8.682,4.97,-0.179,0.902,3.577,0.483,8.72,0.991341,1.125
16,48,14176,3,201206,2012,6,0.721,0.020416254,98.79296,74.081,1.362,11.978418,0.504,0.013123,2552.848529,52.478,49.636,31.158,17.856,15.294,30.734,6.006402,29.214,0.302,0.013,25.818,32.01,43.382,43.221,40.453,130.064,151.097104,20.013,0.197,0.003103,0.722,0,0.044,21.335,23.258,16.468,14.475,11.375,8.676,4.965,-0.18,0.902,3.575,0.483,8.74,1.529036,1.132
17,66,8066,2,201206,2012,6,1.267,0.035877106,42.30247,74.05,1.323,21.817596,0,0.12731,2664.88321,51.245,54.752,32.047,18.317,15.331,32.673,19.76681,27.653,0.12,0.265,27.212,35.462,54.43,52.96,47.819,133.082,68.630296,20.139,0.186,0.032827,0.545,0,0,26.442,27.713,19.55,17.42,10.9,8.22,4.539,-0.494,0.599,3.237,0.487,11.115,0.46514,1.161
18,70,3732,1,201206,2012,6,0.883,0.02500354,8.87852,74.319,1.342,15.040018,0,0,2700.496327,63.581,63.948,35.865,20.494,17.875,37.512,1.233121,51.966,0.152,1.22,31.163,39.944,61.482,59.615,53.66,129.502,26.244706,26.417,0.22,0,0.324,0,0,31.53,34.502,24.465,22.457,10.624,7.941,4.271,-0.694,0.414,3.032,0.493,11.416,2.00E-05,0.587
19,72,3650,1,201206,2012,6,1.055,0.029873991,8.4952,74.333,1.342,16.868088,0,0,2714.745975,64.963,65.212,36.448,20.828,18.218,38.184,3.704508,54.306,0.148,1.275,31.624,40.594,62.557,60.638,54.533,129.161,16.504879,27.061,0.223,0,0.311,0,0,32.112,35.043,24.858,22.923,10.608,7.918,4.251,-0.702,0.406,3.023,0.493,11.573,6.20E-05,0.328
20,74,3619,1,201206,2012,6,0.553,0.015659068,7.21315,74.256,1.341,0,0,0,2757.635955,68.127,68.49,38.104,21.774,19.329,40.111,12.85525,60.024,0.145,1.502,33.238,42.81,66.058,63.986,57.418,128.143,26.941022,29.2,0.241,0,0.366,0,0,34.258,37.098,26.355,24.75,10.556,7.845,4.18,-0.735,0.374,2.987,0.493,11.794,3.11E-04,0
21,75,3765,1,201206,2012,6,0.642,0.018179244,6.79357,74.209,1.341,0,0,0,2773.654055,68.044,68.804,38.329,21.903,19.543,40.482,7.524733,60.241,0.141,1.594,33.851,43.642,67.338,65.213,58.482,127.99,5.107956,29.694,0.244,0,0.389,0,0,35.011,37.826,26.888,25.438,10.538,7.819,4.154,-0.748,0.36,2.973,0.494,11.975,5.68E-04,0
22,76,3487,1,201206,2012,6,2.552,0.072263911,10.37813,74.488,1.349,19.073594,1.179,0,2676.072074,61.801,61.515,35.028,20.039,17.113,36.949,0.136677,38.574,0.124,1.34,31.955,40.901,62.873,60.909,54.819,129.441,25.093592,25.673,0.246,0,0.179,0,0,34.134,37.49,26.64,25.008,10.588,7.904,4.228,-0.737,0.376,2.995,0.49,10.185,0,0.485
23,77,3379,1,201206,2012,6,2.034,0.057595922,10.23309,74.495,1.349,22.01513,0.791,0,2680.74327,62.206,61.904,35.239,20.16,17.214,37.164,0.217955,39.117,0.123,1.359,32.13,41.15,63.292,61.306,55.157,129.35,19.359868,25.862,0.247,0,0.149,0,0,34.361,37.693,26.788,25.185,10.581,7.896,4.22,-0.74,0.373,2.991,0.49,10.279,0,0.378
24,78,3348,1,201206,2012,6,1.647,0.046637406,9.51307,74.533,1.35,12.97651,0,0,2703.221025,64.382,63.859,36.29,20.762,17.801,38.39,0.592465,42.077,0.123,1.462,33.014,42.398,65.364,63.274,56.836,128.708,29.760558,26.981,0.258,0,0.157,0,0,35.578,38.773,27.574,26.137,10.548,7.851,4.178,-0.756,0.357,2.972,0.49,10.302,0,0.066
25,79,3278,1,201206,2012,6,1.915,0.054226249,8.8837,74.568,1.349,20.711312,0,0,2724.019349,66.478,65.728,37.257,21.317,18.375,39.546,1.61049,44.751,0.123,1.565,33.836,43.545,67.227,65.048,58.357,128.044,21.795092,27.847,0.268,0,0.168,0,0,36.752,39.831,28.346,27.08,10.518,7.81,4.14,-0.772,0.342,2.954,0.49,10.32,0,0.07
26,80,3328,1,201206,2012,6,1.781,0.050431828,8.57031,74.553,1.349,8.932817,0,0,2734.619063,67.44,66.638,37.723,21.584,18.656,40.086,2.838301,46.061,0.122,1.622,34.258,44.125,68.151,65.929,59.115,127.771,36.111472,28.19,0.27,0,0.174,0,0,37.391,40.393,28.756,27.588,10.503,7.79,4.121,-0.781,0.333,2.944,0.49,10.337,0,0.073
27,81,3297,1,201206,2012,6,0.504,0.014271556,3.03807,74.845,1.359,0,0,0,2700.260267,68.377,65.443,36.715,20.99,17.508,38.926,0.435915,52.636,0.149,1.044,31.294,40.246,62.572,60.521,54.36,127.486,13.495293,21.24,0.217,0,0,0,0,33.337,36.864,26.203,22.171,10.584,7.908,4.239,-0.717,0.402,3.015,0.487,9.962,0,0
28,82,11691,3,201206,2012,6,0,0,11.91659,74.009,1.333,0,0,0,2728.759563,63.301,63.264,37.601,21.549,18.253,37.914,0.008389,50.132,0.084,0.071,29.438,38.684,58.719,57.17,51.614,127.852,28.739826,26.333,0.259,0,0.294,0,0,30.258,32.221,22.895,22.594,10.944,8.212,4.527,-0.445,0.639,3.28,0.496,11.789,0.003206,0.098
29,85,9364,3,201206,2012,6,0.211,0.005974798,10.12431,74.01,1.327,0,0,0,2783.705629,67.392,67.832,40.149,23.015,19.667,40.267,0.044419,58.627,0.052,0.084,30.306,39.992,61.121,59.437,53.496,126.445,4.784498,29.032,0.284,0,0.291,0,0,32.657,34.829,24.78,24.927,10.906,8.158,4.469,-0.48,0.604,3.244,0.499,12.566,0.016976,0.053
30,87,6540,2,201206,2012,6,0.488,0.013818491,21.2898,74.042,1.307,41.10116,0,0,2684.678278,53.185,57.015,33.474,19.13,16.117,33.978,8.317589,34.753,0.106,0.401,27.975,36.437,56.226,54.631,49.229,133.868,106.040232,19.039,0.163,0.023128,0.472,0,0,28.024,29.246,20.649,18.521,10.837,8.153,4.473,-0.545,0.55,3.185,0.48,11.286,0.48181,0.849
31,88,6069,2,201206,2012,6,0.488,0.013818491,17.4825,74.052,1.298,23.03003,0,0,2709.020509,54.185,59.097,34.646,19.8,16.747,35.127,9.637667,39.099,0.104,0.483,28.558,37.171,57.333,55.701,50.15,133.644,91.9068,20.089,0.169,0.040761,0.484,0,0,29.434,30.754,21.741,19.931,10.811,8.123,4.44,-0.566,0.53,3.164,0.478,11.651,0.849135,1.034
32,91,5371,2,201206,2012,6,0.518,0.014667988,13.68815,74.066,1.329,19.656374,0,0,2779.162466,60.513,65.802,38.264,21.868,18.616,38.831,0.018662,47.741,0.095,0.617,30.428,39.881,61.987,60.118,53.876,132.246,61.820596,22.425,0.182,0.149568,0.36,0,0,32.553,34.106,24.147,22.67,10.742,8.024,4.34,-0.618,0.479,3.11,0.496,12.147,2.10E-05,1.071
33,92,5317,2,201206,2012,6,0.622,0.017612912,13.30224,74.068,1.33,27.457964,0,0,2788.519861,61.229,66.625,38.695,22.115,18.842,39.27,0.027841,49.123,0.098,0.635,30.656,40.21,62.539,60.645,54.322,132.015,58.256476,22.825,0.185,0.223129,0.349,0,0,32.948,34.534,24.454,23.025,10.734,8.012,4.328,-0.624,0.473,3.104,0.497,12.277,3.10E-05,0.805
34,100,13658,3,201206,2012,6,0.25,0.007079145,10.04143,74.109,1.371,18.450942,0,0,2656.6391,62.279,61.493,38.78,22.302,19.58,37.446,0,46.836,0.419,0.003,30.292,38.952,55.868,54.756,50.274,127.872,24.043186,26.404,0.232,0.124612,0.587,0,0.059,25.717,28.163,20.114,18.469,11.061,8.328,4.654,-0.327,0.748,3.39,0.482,9.548,0,0.161
35,101,11420,3,201206,2012,6,0,0,10.80289,74.028,1.349,13.558866,0,0,2760.86178,76.496,75.747,45.938,26.502,23.749,44.8,0.001004,66.375,0.285,0.038,31.291,41.031,61.371,59.793,54.153,124.949,27.544152,28.479,0.268,0.208739,0.544,0,0.283,33.743,36.456,25.965,26.596,10.948,8.188,4.505,-0.429,0.649,3.288,0.49,11.792,0.007033,0.083
36,102,13571,3,201206,2012,6,0.14,0.003964321,8.22325,74.133,1.375,0.486933,0,0,2719.668235,68.244,67.972,42.859,24.665,21.935,41.043,0,56.719,0.459,0.003,31.815,41.135,59.509,58.19,53.23,125.773,29.080276,30.187,0.258,0,0.553,0,0.072,27.63,30.147,21.591,20.268,10.993,8.239,4.566,-0.375,0.697,3.335,0.481,10.375,0,0.087
37,103,13874,3,201206,2012,6,0.221,0.006257964,6.48795,74.169,1.387,2.041546,0,0,2770.78232,72.256,72.644,46.059,26.507,23.732,43.661,0,63.203,0.552,0.004,32.292,41.827,60.711,59.332,54.184,124.953,18.64036,31.709,0.264,0,0.701,0,0.09,30.326,33.254,23.896,23.017,10.981,8.216,4.54,-0.385,0.687,3.325,0.476,10.98,0,0
38,105,7608,2,201206,2012,6,0.29,0.008211808,9.54415,74.128,1.325,12.780193,0,0,2783.973697,57.072,65.984,37.394,21.384,17.831,37.563,0.004633,34.471,0.051,0.241,29.427,38.789,59.906,58.223,52.255,132.113,35.448592,24.796,0.218,0,0.384,0,0,31.192,33.081,23.382,22.537,10.842,8.12,4.431,-0.538,0.552,3.19,0.499,12.511,0.250501,0.103
39,106,7776,2,201206,2012,6,0.437,0.012374345,7.96425,74.153,1.317,3.00E-05,0,0,2852.904344,61.343,71.969,40.412,23.111,19.355,40.403,0.027109,40.429,0.031,0.289,30.519,40.385,62.738,60.911,54.491,131.35,4.924845,27.395,0.235,0,0.411,0,0,33.809,35.935,25.425,25.012,10.791,8.052,4.358,-0.585,0.505,3.143,0.502,13.207,0.006727,0
40,107,7763,2,201206,2012,6,0,0,7.73892,74.157,1.317,4.70E-05,0,0,2863.282,61.865,72.748,40.835,23.353,19.565,40.802,0.041813,40.625,0.028,0.298,30.658,40.583,63.078,61.236,54.761,131.347,6.986349,27.507,0.237,0,0.423,0,0,34.23,36.403,25.76,25.429,10.784,8.043,4.348,-0.591,0.5,3.137,0.502,13.342,0.010376,0
41,108,7715,2,201206,2012,6,0.659,0.018660626,7.48769,74.163,1.317,7.50E-05,0,0,2874.567889,62.402,73.558,41.305,23.622,19.797,41.239,0.066679,40.704,0.026,0.308,30.799,40.777,63.405,61.551,55.022,131.412,8.78381,27.481,0.237,0,0.437,0,0,34.708,36.936,26.143,25.911,10.778,8.035,4.339,-0.596,0.494,3.131,0.503,13.487,0.016547,0
42,109,3177,1,201206,2012,6,0.375,0.010618717,2.78943,74.831,1.36,0,0,0,2720.539458,68.714,66.178,37.329,21.341,17.897,39.674,0.718704,55.422,0.15,1.137,31.995,41.207,64.088,61.969,55.609,127.421,8.70729,21.486,0.216,0,0,0,0,34.26,37.603,26.756,22.777,10.56,7.876,4.208,-0.732,0.386,2.998,0.486,10.026,0,0
43,110,3046,1,201206,2012,6,0.539,0.015262636,2.48122,74.811,1.362,0,0,0,2746.946218,68.892,66.959,37.96,21.703,18.361,40.531,1.225109,58.723,0.146,1.276,32.967,42.525,66.116,63.913,57.294,127.307,7.995804,21.89,0.215,0,0,0,0,35.242,38.309,27.304,23.47,10.527,7.832,4.165,-0.755,0.364,2.974,0.485,10.087,0,0
44,111,10931,3,201206,2012,6,0.104,0.002944924,11.74565,74.009,1.333,0,0,0,2734.042915,63.724,63.726,37.864,21.7,18.399,38.169,0.012515,50.823,0.079,0.072,29.524,38.814,58.964,57.4,51.805,127.707,32.562916,26.628,0.262,0,0.27,0,0,30.458,32.438,23.051,22.787,10.94,8.206,4.521,-0.449,0.635,3.276,0.496,11.887,0.004783,0.099
45,112,8773,2,201206,2012,6,0.034,0.000962764,5.92851,74.012,1.318,0,0,0,2768.326692,58.447,63.461,36.859,21.079,17.7,37.476,0.006013,49.544,0.023,0.112,29.299,38.631,59.355,57.729,51.904,129.111,20.329308,21.687,0.251,0.10717,0.352,0,0,31.163,32.883,23.296,22.933,10.902,8.173,4.483,-0.489,0.599,3.24,0.502,12.592,0.197265,0.546
46,113,1116,1,201206,2012,6,0.559,0.015828968,2.31028,75,1.349,0,0,0,2617.81116,65.317,60.346,31.318,17.896,14.28,32.641,0,51.48,0.178,0.279,27.699,35.545,56,54.056,48.659,127.051,9.143834,19.789,0.205,0,0,0,0,33.035,38.186,26.863,21.388,10.683,8.052,4.375,-0.655,0.473,3.091,0.49,8.905,0,0
47,114,1363,1,201206,2012,6,0.454,0.012855727,2.0979,75,1.348,0,0,0,2629.601178,66.069,61.188,31.813,18.179,14.578,33.181,0,54.674,0.176,0.304,28.012,35.999,56.752,54.773,49.268,126.866,8.119165,19.128,0.195,0,0,0,0,33.806,39.147,27.549,21.988,10.669,8.036,4.36,-0.661,0.467,3.084,0.491,8.957,0,0
48,115,1547,1,201206,2012,6,0.437,0.012374345,1.64724,75,1.35,0,0,0,2653.503297,67.761,63.084,32.96,18.834,15.325,34.463,0,56.854,0.184,0.379,28.816,37.132,58.556,56.5,50.749,126.4,3.280315,18.781,0.188,0,0,0,0,35.304,40.799,28.746,23.127,10.636,7.994,4.32,-0.68,0.449,3.063,0.49,8.963,0,0
49,116,6521,2,201206,2012,6,0,0,3.39549,74,1.349,28.806546,0,0,2590.111068,50.97,49.356,29.118,16.639,13.763,29.71,0,16.587,0.092,0.029,25.802,33.871,52.681,51.151,46.191,134.717,36.131152,13.664,0.121,0,0.249,0,0,22.163,22.975,16.094,12.401,10.933,8.261,4.59,-0.466,0.626,3.265,0.49,9.507,0,0
50,117,7306,2,201206,2012,6,1.245,0.035254141,4.76819,74,1.364,11.054461,0,0.846481,2670.075539,55.961,55.035,32.169,18.382,15.085,32.85,0,17.991,0.104,0.081,27.864,37.026,58.089,56.289,50.523,132.045,28.691122,18.154,0.153,0,0,0,0,24.333,25.331,17.829,13.965,10.888,8.172,4.495,-0.508,0.582,3.223,0.484,10.328,0,0
51,25,13504,3,201207,2012,7,0.313,0.008863089,43.21674,74.035,1.356,25.01365,0.099,0,2639.848801,97.614,78.85,59.945,34.704,24.698,34.844,5.98E-04,42.47,0.252,29.835,14.933,33.299,53.492,54.625,47.511,128.737,76.346712,23.186,0.225,0.084333,0.585,0,0,2.33,26.748,20.365,15.665,16.005,13.534,8.924,2.97,1.282,3.999,0.487,10.243,3.31E-04,1.153
52,27,8545,2,201207,2012,7,0.526,0.014894521,53.87977,74.041,1.328,40.890284,0,0.033558,2645.209173,81.098,65.705,51.165,29.505,20.848,30.059,8.644166,27.232,0.13,27.384,13.802,30.954,51.473,52.739,45.662,132.64,106.914408,19.76,0.194,0.011999,0.571,0,0,0.948,26.009,19.064,14.665,15.892,13.422,8.844,2.879,1.194,3.889,0.488,10.979,0.768222,1.074
53,31,3518,1,201207,2012,7,1.46,0.041342206,26.75211,74.182,1.327,39.109044,1.863,0.344153,2699.629105,69.8,64.402,51.833,29.848,21.158,32.888,3.917338,38.992,0.127,27.85,14.413,33.733,57.037,58.468,50.433,131.116,69.386744,24.91,0.218,0,0.403,0,0,1.072,31.215,23.065,17.742,15.619,13.154,8.571,2.657,1.006,3.68,0.496,11.255,0.121717,1.251
54,33,5315,2,201207,2012,7,0.446,0.012629194,13.29188,74.068,1.331,29.3422,0,0,2788.773926,82.522,71.884,58.256,33.907,24.038,35.515,0.02976,49.16,0.098,28.578,14.607,35.016,60.263,61.841,53.041,132.009,61.882252,22.835,0.185,0.238512,0.348,0,0,1.676,33.058,24.462,18.817,15.692,13.213,8.586,2.68,1.024,3.725,0.497,12.284,3.40E-05,0.758
55,34,4793,1,201207,2012,7,1.103,0.031233187,12.03573,74.079,1.318,23.990222,0,0,2821.221233,75.191,69.896,57.216,33.12,23.59,36.128,0.054465,39.811,0.077,29.246,15.256,37.203,63.914,65.593,56.238,129.789,29.851898,28.858,0.243,0,0.342,0,0,1.489,35.034,25.825,19.865,15.556,13.079,8.442,2.575,0.94,3.63,0.502,12.204,0,0
56,35,13466,3,201207,2012,7,0.283,0.008013592,29.02872,74.014,1.346,14.917449,0,0,2675.169844,99.333,81.5,62.089,35.978,25.621,36.459,8.63E-04,47.026,0.181,29.92,14.982,34.014,55.689,56.91,49.286,128.141,42.282264,23.929,0.236,0.012629,0.491,0,0,2.853,28.769,21.881,16.832,15.953,13.476,8.855,2.919,1.239,3.957,0.49,10.88,4.78E-04,0.846
57,36,13345,3,201207,2012,7,0.281,0.007956959,28.93289,74.014,1.346,20.136472,0,0,2676.392156,99.484,81.622,62.189,36.037,25.663,36.522,0.001165,47.183,0.18,29.936,14.989,34.048,55.766,56.988,49.349,128.116,57.031328,23.995,0.236,0.017047,0.483,0,0,2.863,28.83,21.929,16.868,15.951,13.474,8.853,2.917,1.238,3.955,0.49,10.904,6.46E-04,0.727
58,39,11824,3,201207,2012,7,0.215,0.006088065,24.85882,74.016,1.342,37.344988,0,0,2722.862053,104.179,86.11,65.868,38.218,27.244,38.838,0.008058,54.592,0.176,30.315,15.183,34.946,57.847,59.135,51.069,126.924,87.707416,26.514,0.259,0.117845,0.397,0,0,3.332,30.687,23.455,18.042,15.918,13.436,8.8,2.874,1.2,3.921,0.493,11.512,0.004467,0.126
59,42,12867,3,201207,2012,7,1.499,0.042446552,175.00112,74.031,1.351,7.929646,0.46,0.011131,2550.230859,83.311,66.33,50.182,28.917,20.496,28.825,1.188379,25.028,0.247,27.716,13.896,28.96,43.631,44.667,39.488,130.211,126.871424,19.564,0.196,0.114957,0.779,0,0,0.877,22.914,17.021,13.093,16.209,13.759,9.188,3.122,1.391,4.113,0.485,9.179,1.269638,1.131
60,43,12733,3,201207,2012,7,1.257,0.03559394,174.52197,74.034,1.351,6.585333,0.447,0.016606,2551.083077,83.24,66.306,50.19,28.922,20.498,28.84,1.772855,25.084,0.247,27.731,13.903,28.997,43.703,44.74,39.548,130.289,145.697616,19.561,0.196,0.171496,0.776,0,0,0.88,22.907,17.015,13.088,16.206,13.756,9.184,3.12,1.39,4.112,0.485,9.191,1.894079,1.132
61,44,12685,3,201207,2012,7,0.251,0.007107461,106.03978,74.062,1.362,4.570575,0.47,0.001315,2534.907936,87.533,69.505,51.961,29.892,21.186,29.607,1.750596,27.247,0.301,28.413,14.213,29.208,42.088,43.065,38.409,129.687,107.777096,19.696,0.195,0.079198,0.779,0,0,0.966,21.791,16.372,12.594,16.313,13.869,9.292,3.211,1.47,4.203,0.483,8.565,1.028472,1.054
62,45,12727,3,201207,2012,7,0.251,0.007107461,105.73157,74.065,1.362,6.073802,0.471,0.001898,2535.824171,87.433,69.466,51.961,29.892,21.185,29.621,2.525965,27.327,0.301,28.431,14.222,29.247,42.159,43.137,38.469,129.738,132.72388,19.719,0.195,0.114276,0.775,0,0,0.969,21.781,16.366,12.59,16.311,13.866,9.29,3.209,1.469,4.202,0.483,8.575,0.221197,1.058
63,49,14514,3,201207,2012,7,0.46,0.013025627,96.99291,74.083,1.362,18.741324,0.514,0.020927,2557.993846,87.276,70.045,52.964,30.478,21.592,30.472,4.827949,29.756,0.301,28.914,14.464,30.256,43.974,44.98,39.994,130.065,123.82984,20.219,0.199,0.004949,0.705,0,0,1.056,21.936,16.52,12.708,16.257,13.809,9.227,3.184,1.457,4.186,0.483,8.787,1.132705,1.153
64,50,14862,3,201207,2012,7,0.468,0.013252159,95.8559,74.087,1.362,8.937471,0.52,0.032278,2560.900591,87.437,70.225,53.121,30.57,21.656,30.595,7.446588,30.109,0.301,28.994,14.504,30.424,44.287,45.298,40.255,130.093,104.881672,20.187,0.199,0.007633,0.69,0,0,1.069,21.983,16.557,12.736,16.246,13.797,9.215,3.179,1.454,4.182,0.483,8.822,0.581913,1.167
65,51,15162,3,201207,2012,7,0.465,0.013167209,94.10765,74.088,1.361,10.472546,0.529,0.053218,2565.626801,87.849,70.585,53.405,30.737,21.773,30.803,12.236756,30.668,0.3,29.117,14.565,30.676,44.767,45.781,40.651,129.996,86.508016,20.264,0.2,0.012585,0.662,0,0,1.089,22.079,16.635,12.796,16.229,13.779,9.195,3.17,1.449,4.175,0.483,8.865,0.959412,1.188
66,52,15234,3,201207,2012,7,0.33,0.009344471,93.93153,74.089,1.361,13.224759,0.53,0.067204,2566.225954,87.88,70.616,53.433,30.753,21.785,30.825,15.452525,30.725,0.3,29.128,14.571,30.701,44.813,45.828,40.69,129.986,100.29032,20.293,0.2,0.015893,0.657,0,0,1.091,22.081,16.636,12.797,16.227,13.777,9.194,3.169,1.448,4.175,0.483,8.872,1.211549,1.19
